ec5_branch_owner_uuid,ec5_branch_uuid,created_at,uploaded_at,created_by,title,24_rea_laboral,25_Nmero_de_personal,26_Nmero_de_personal
a5ee5c2e-af21-42c0-b27d-4f348a5809d5,f26a57c4-9d1a-492e-a0fa-95fccde20767,2021-09-07T19:21:51.017Z,2021-09-07T23:15:28.000Z,pereyraobdulio59@gmail.com,"Área de producción","Área de producción",0,7
42f5e53e-48d8-4f50-9be1-3052d0df83da,666608a2-88e4-4e57-a741-3d8bb690e905,2021-09-07T18:35:37.182Z,2021-09-07T23:15:06.000Z,pereyraobdulio59@gmail.com,"Área de producción","Área de producción",0,7
0985b6f5-2f5a-44fe-bc55-54130637d93e,880df253-0897-4ea9-b216-5899861b8718,2021-09-07T17:03:03.470Z,2021-09-07T23:14:35.000Z,pereyraobdulio59@gmail.com,"Área de producción","Área de producción",0,30
0985b6f5-2f5a-44fe-bc55-54130637d93e,6edb9339-74e6-4337-99c9-8c3bdb989c65,2021-09-07T17:02:38.213Z,2021-09-07T23:14:34.000Z,pereyraobdulio59@gmail.com,"Área administrativa","Área administrativa (incluye los propietarios)",0,2
21da4fd1-c053-4a17-99d2-97a63d55ca96,623abb21-a82f-48e5-ba8a-a1617212811e,2021-09-07T14:32:56.710Z,2021-09-07T14:46:08.000Z,pereyraobdulio59@gmail.com,"Área de producción","Área de producción",10,0
21da4fd1-c053-4a17-99d2-97a63d55ca96,abb6b853-1c6c-4b1b-99e7-09e9e0eca071,2021-09-07T14:32:37.349Z,2021-09-07T14:46:07.000Z,pereyraobdulio59@gmail.com,"Área administrativa","Área administrativa (incluye los propietarios)",2,0
5b319326-1e48-47f3-b1f9-26ba01b4790a,4462e168-2f29-40dc-ba37-d2bb7029a920,2021-09-07T13:24:23.132Z,2021-09-07T13:48:42.000Z,pereyraobdulio59@gmail.com,"Área de producción","Área de producción",0,4
5b319326-1e48-47f3-b1f9-26ba01b4790a,23982d7e-a2e6-4b10-851b-09ec6ce44645,2021-09-07T13:23:54.481Z,2021-09-07T13:48:41.000Z,pereyraobdulio59@gmail.com,"Área administrativa","Área administrativa (incluye los propietarios)",1,0
3cd7f090-e534-437d-acbf-1e40ff6b0e56,85707e68-e0fa-4c09-81c0-03524b85d7fd,2021-09-07T12:49:49.488Z,2021-09-07T12:56:27.000Z,pereyraobdulio59@gmail.com,"Área de producción","Área de producción",1,0
24fcae50-c52b-4469-860e-1154da2d2743,09ac499d-2ffa-42dd-a0ec-c0b978fbafdb,2021-09-07T11:24:05.025Z,2021-09-07T12:42:59.000Z,pereyraobdulio59@gmail.com,09ac499d-2ffa-42dd-a0ec-c0b978fbafdb,,0,0
24fcae50-c52b-4469-860e-1154da2d2743,368d0168-e895-4979-9b5b-509bc435d6f8,2021-09-07T11:23:31.822Z,2021-09-07T12:42:58.000Z,pereyraobdulio59@gmail.com,"Área administrativa","Área administrativa (incluye los propietarios)",2,0
24fcae50-c52b-4469-860e-1154da2d2743,0ce95406-e6c9-4f3a-a87f-59cf77208f60,2021-09-07T11:23:04.932Z,2021-09-07T12:42:56.000Z,pereyraobdulio59@gmail.com,"Área de producción","Área de producción",7,0
7524a8a1-5862-4fad-8cb5-d36ab270d57c,d0411cc2-4d25-4d35-a34a-245caf3de833,2021-09-06T18:11:54.208Z,2021-09-06T19:14:00.000Z,mathiasisaaclopez@gmail.com,"Área técnica","Área técnica",1,0
7524a8a1-5862-4fad-8cb5-d36ab270d57c,17a4e812-0255-45fd-88a3-ca118583be54,2021-09-06T18:11:23.180Z,2021-09-06T19:13:58.000Z,mathiasisaaclopez@gmail.com,"Área de Transporte","Área de Transporte",1,0
7524a8a1-5862-4fad-8cb5-d36ab270d57c,f3a4626f-822d-49de-9da3-2961494b8c7b,2021-09-06T18:11:04.005Z,2021-09-06T19:13:56.000Z,mathiasisaaclopez@gmail.com,"Área de producción","Área de producción",45,0
7524a8a1-5862-4fad-8cb5-d36ab270d57c,3a6d9302-443b-4940-939e-2e045c41e508,2021-09-06T18:10:44.140Z,2021-09-06T19:13:55.000Z,mathiasisaaclopez@gmail.com,"Área administrativa","Área administrativa (incluye los propietarios)",3,0
